geometry,label_id,label_name,label,collection_date,created_at,end_date,id,start_date,updated_at,user_email,user_name,longitude,latitude,timeline,timeseries,pheno_metrics
POINT (-53.405914 -33.707669),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,2,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.405914,-33.707669,,"['4926.', '7949.', '9310.', '9459.', '9176.', '8647.', '6289.', -9999, '4645.', '5469.', '7338.', '8408.', '8433.', '7618.', '6767.', '5646.', '5678.', '3633.', '2696.', -9999, '3238.', '3406.', -9999, '8744.0', ' 85.66666412353516', ' 20.814104080200195', -9999, -9999, -9999, -9999, ' 5312.6669921875', ' 4602.66650390625', ' 256.0', ' 5203.0', ' 1', ' 9315.0', ' 49', ' 4002.333251953125', ' 273', ' 4985.66650390625', ' 257']","['8744.0', ' 85.66666412353516', ' 20.814104080200195', ' nan', ' nan', ' nan', ' nan', ' 5312.6669921875', ' 4602.66650390625', ' 256.0', ' 5203.0', ' 1', ' 9315.0', ' 49', ' 4002.333251953125', ' 273', ' 4985.66650390625', ' 257']"
POINT (-53.402138 -33.703992),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,3,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.402138,-33.703992,,"['4935.', '7401.', '9131.', '9492.', '1914.', '8491.', '4947.', -9999, '7401.', '6880.', '8085.', '8260.', '8258.', '7555.', '7149.', '6637.', '6786.', '4885.', '3502.', -9999, '2965.', '3195.', -9999, '7876.48828125', ' 113.03126525878906', ' 11.482145309448242', -9999, -9999, -9999, -9999, ' 3617.00048828125', ' 5057.66650390625', ' 256.0', ' 5057.66650390625', ' 1', ' 8674.6669921875', ' 33', ' 5057.66650390625', ' 1', ' 6102.66650390625', ' 257']","['7876.48828125', ' 113.03126525878906', ' 11.482145309448242', ' nan', ' nan', ' nan', ' nan', ' 3617.00048828125', ' 5057.66650390625', ' 256.0', ' 5057.66650390625', ' 1', ' 8674.6669921875', ' 33', ' 5057.66650390625', ' 1', ' 6102.66650390625', ' 257']"
POINT (-53.408017 -33.704777),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,4,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.408017,-33.704777,,"['6181.', '8563.', '9330.', '9394.', '5097.', '7593.', '6860.', -9999, '6507.', '5214.', '5803.', '5967.', '7275.', '7055.', '6221.', '5466.', '5551.', '3599.', '2812.', -9999, '4396.', '3986.', -9999, '8346.3056640625', ' 82.67189025878906', ' 18.855655670166016', -9999, -9999, -9999, -9999, ' 5108.333984375', ' 5218.75', ' 256.0', ' 6450.16650390625', ' 1', ' 9095.6669921875', ' 33', ' 3987.333251953125', ' 273', ' 4872.0', ' 257']","['8346.3056640625', ' 82.67189025878906', ' 18.855655670166016', ' nan', ' nan', ' nan', ' nan', ' 5108.333984375', ' 5218.75', ' 256.0', ' 6450.16650390625', ' 1', ' 9095.6669921875', ' 33', ' 3987.333251953125', ' 273', ' 4872.0', ' 257']"
POINT (-53.406129 -33.701671),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,5,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.406129,-33.701671,,"['5152.', '6985.', '8830.', '9065.', '2296.', '8207.', '6418.', -9999, '8008.', '7076.', '7318.', '7289.', '7376.', '6736.', '6661.', '6506.', '6517.', '4857.', '3981.', -9999, '4912.', '4260.', -9999, '7470.892578125', ' 98.22915649414062', ' 10.416665077209473', -9999, -9999, -9999, -9999, ' 3174.99951171875', ' 5134.1669921875', ' 256.0', ' 5150.0', ' 1', ' 8293.3330078125', ' 33', ' 5118.33349609375', ' 273', ' 5960.0', ' 257']","['7470.892578125', ' 98.22915649414062', ' 10.416665077209473', ' nan', ' nan', ' nan', ' nan', ' 3174.99951171875', ' 5134.1669921875', ' 256.0', ' 5150.0', ' 1', ' 8293.3330078125', ' 33', ' 5118.33349609375', ' 273', ' 5960.0', ' 257']"
POINT (-53.413124 -33.701671),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,6,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.413124,-33.701671,,"['3709.', '6710.', '9308.', '9410.', '9220.', '8998.', '5604.', -9999, '5630.', '6472.', '7935.', '6853.', '7928.', '7416.', '6846.', '5883.', '5922.', '3893.', '2956.', -9999, '3173.', '3511.', -9999, '8701.5', ' 115.34375', ' 19.615386962890625', -9999, -9999, -9999, -9999, ' 5536.5', ' 4016.58349609375', ' 256.0', ' 3776.166748046875', ' 1', ' 9312.6669921875', ' 49', ' 3776.166748046875', ' 1', ' 5232.66650390625', ' 257']","['8701.5', ' 115.34375', ' 19.615386962890625', ' nan', ' nan', ' nan', ' nan', ' 5536.5', ' 4016.58349609375', ' 256.0', ' 3776.166748046875', ' 1', ' 9312.6669921875', ' 49', ' 3776.166748046875', ' 1', ' 5232.66650390625', ' 257']"
POINT (-53.420076 -33.692138),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,7,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.420076,-33.692138,,"['4119.', '7285.', '9008.', '9278.', '8428.', '8921.', '6102.', -9999, '4089.', '6173.', '7806.', -9999, '8049.', '7882.', '7571.', '7253.', -9999, '2371.', '2192.', -9999, '5417.', '3942.', -9999, '8457.083984375', ' 94.69097900390625', ' 1.8125', ' 35287.75', ' 15670.0', -9999, -9999, ' 4545.1669921875', ' 5191.0830078125', ' 64.0', ' 4359.5', ' 1', ' 8904.6669921875', ' 49', ' 4359.5', ' 1', ' 8875.6669921875', ' 65']","['8457.083984375', ' 94.69097900390625', ' 1.8125', ' 35287.75', ' 15670.0', ' nan', ' nan', ' 4545.1669921875', ' 5191.0830078125', ' 64.0', ' 4359.5', ' 1', ' 8904.6669921875', ' 49', ' 4359.5', ' 1', ' 8875.6669921875', ' 65']"
POINT (-53.413854 -33.699529),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,8,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.413854,-33.699529,,"['6060.', '7471.', '8243.', '8609.', '8296.', '8100.', '6778.', -9999, '5267.', '6033.', '6749.', '7442.', '7013.', '6881.', '6688.', '5423.', '5350.', '5214.', '4565.', -9999, '5232.', '4631.', -9999, '7688.365234375', ' 46.17014694213867', ' 13.345486640930176', -9999, -9999, -9999, -9999, ' 3339.6669921875', ' 5604.75', ' 240.0', ' 6166.5', ' 1', ' 8382.6669921875', ' 49', ' 5043.0', ' 273', ' 5820.33349609375', ' 241']","['7688.365234375', ' 46.17014694213867', ' 13.345486640930176', ' nan', ' nan', ' nan', ' nan', ' 3339.6669921875', ' 5604.75', ' 240.0', ' 6166.5', ' 1', ' 8382.6669921875', ' 49', ' 5043.0', ' 273', ' 5820.33349609375', ' 241']"
POINT (-53.421621 -33.697922),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,9,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.421621,-33.697922,,"['7381.', '8867.', '9410.', '9365.', '8468.', '8465.', '4471.', '3726.', '5540.', '7690.', '8653.', '8025.', '8405.', '7708.', '7534.', '6793.', '6780.', '2492.', '2287.', -9999, '3525.', '3462.', -9999, '8465.54296875', ' 52.36979675292969', ' 17.227678298950195', ' 121744.4140625', ' 58169.9140625', -9999, -9999, ' 5361.0', ' 5695.5830078125', ' 256.0', ' 7538.16650390625', ' 1', ' 9214.0', ' 33', ' 3853.0', ' 273', ' 5355.0', ' 257']","['8465.54296875', ' 52.36979675292969', ' 17.227678298950195', ' 121744.4140625', ' 58169.9140625', ' nan', ' nan', ' 5361.0', ' 5695.5830078125', ' 256.0', ' 7538.16650390625', ' 1', ' 9214.0', ' 33', ' 3853.0', ' 273', ' 5355.0', ' 257']"
POINT (-53.420849 -33.696423),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,10,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.420849,-33.696423,,"['5984.', '8406.', '9202.', '9429.', '8655.', '8356.', '4487.', '3468.', '4873.', '6684.', '7739.', '7241.', '7292.', '7275.', '6788.', '6395.', '6531.', '3887.', '2946.', -9999, '3797.', '3638.', -9999, '8550.7216796875', ' 59.17360305786133', ' 76.21527099609375', ' 50515.5', ' 22721.5', -9999, -9999, ' 4819.3330078125', ' 5265.5', ' 96.0', ' 6255.0', ' 1', ' 9095.3330078125', ' 49', ' 4276.0', ' 113', ' 5437.0', ' 97']","['8550.7216796875', ' 59.17360305786133', ' 76.21527099609375', ' 50515.5', ' 22721.5', ' nan', ' nan', ' 4819.3330078125', ' 5265.5', ' 96.0', ' 6255.0', ' 1', ' 9095.3330078125', ' 49', ' 4276.0', ' 113', ' 5437.0', ' 97']"
POINT (-53.427329 -33.694423),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,11,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.427329,-33.694423,,"['7180.', '7766.', '9375.', '9356.', '7480.', '7562.', '4659.', '4873.', '6696.', '7718.', '8311.', '6965.', '7903.', '7408.', '6779.', '5721.', '5105.', '2172.', '1961.', -9999, '2854.', '3004.', -9999, '8200.875', ' 56.963531494140625', ' 20.087797164916992', ' 116008.75', ' 65199.75', -9999, -9999, ' 5753.0', ' 5044.41650390625', ' 256.0', ' 7009.5', ' 1', ' 8832.3330078125', ' 33', ' 3079.333251953125', ' 273', ' 4332.66650390625', ' 257']","['8200.875', ' 56.963531494140625', ' 20.087797164916992', ' 116008.75', ' 65199.75', ' nan', ' nan', ' 5753.0', ' 5044.41650390625', ' 256.0', ' 7009.5', ' 1', ' 8832.3330078125', ' 33', ' 3079.333251953125', ' 273', ' 4332.66650390625', ' 257']"
