geometry,label_id,label_name,label,collection_date,created_at,end_date,id,start_date,updated_at,user_email,user_name,longitude,latitude,timeline,timeseries,pheno_metrics
POINT (-53.405914 -33.707669),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,2,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.405914,-33.707669,,"[4926, 7949, 9310, 9459, 9176, 8647, 6289, -9999, 4645, 5469, 7338, 8408, 8433, 7618, 6767, 5646, 5678, 3633, 2696, -9999, 3238, 3406, -9999]","[8764.75, 94.4375, 304.03125, 43294.0, 118286.5, 101270.5, 321248.5, 19458.0, -2536.5, 112.0, 4926.0, 1, 9459.0, 49, -9999.0, 113, -9999.0, 113]"
POINT (-53.402138 -33.703992),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,3,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.402138,-33.703992,,"[4935, 7401, 9131, 9492, 1914, 8491, 4947, -9999, 7401, 6880, 8085, 8260, 8258, 7555, 7149, 6637, 6786, 4885, 3502, -9999, 2965, 3195, -9999]","[8914.349609375, 94.9375, 76.13671875, 99243.5, 294224.0, 100404.0, 320382.0, 19491.0, -2532.0, 304.0, 4935.0, 1, 9492.0, 49, -9999.0, 113, -9999.0, 305]"
POINT (-53.408017 -33.704777),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,4,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.408017,-33.704777,,"[6181, 8563, 9330, 9394, 5097, 7593, 6860, -9999, 6507, 5214, 5803, 5967, 7275, 7055, 6221, 5466, 5551, 3599, 2812, -9999, 4396, 3986, -9999]","[8794.583984375, 66.9375, 303.015625, 39928.5, 114921.0, 94782.0, 314760.0, 19393.0, -1909.0, 112.0, 6181.0, 1, 9394.0, 49, -9999.0, 113, -9999.0, 113]"
POINT (-53.406129 -33.701671),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,5,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.406129,-33.701671,,"[5152, 6985, 8830, 9065, 2296, 8207, 6418, -9999, 8008, 7076, 7318, 7289, 7376, 6736, 6661, 6506, 6517, 4857, 3981, -9999, 4912, 4260, -9999]","[8412.3330078125, 81.52083587646484, 62.71052551269531, 100876.5, 320854.5, 100876.5, 320854.5, 19064.0, -2423.5, 352.0, 5152.0, 1, 9065.0, 49, -9999.0, 113, -9999.0, 353]"
POINT (-53.413124 -33.701671),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,6,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.413124,-33.701671,,"[3709, 6710, 9308, 9410, 9220, 8998, 5604, -9999, 5630, 6472, 7935, 6853, 7928, 7416, 6846, 5883, 5922, 3893, 2956, -9999, 3173, 3511, -9999]","[9028.599609375, 118.77083587646484, 63.845394134521484, 100525.0, 320503.0, 100525.0, 320503.0, 19409.0, -3145.0, 352.0, 3709.0, 1, 9410.0, 49, -9999.0, 113, -9999.0, 353]"
POINT (-53.420076 -33.692138),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,7,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.420076,-33.692138,,"[4119, 7285, 9008, 9278, 8428, 8921, 6102, -9999, 4089, 6173, 7806, -9999, 8049, 7882, 7571, 7253, -9999, 2371, 2192, -9999, 5417, 3942, -9999]","[8709.71484375, 107.47916412353516, 301.203125, 41082.5, 116075.0, 68831.0, 288809.0, 19277.0, -2940.0, 112.0, 4119.0, 1, 9278.0, 49, -9999.0, 113, -9999.0, 113]"
POINT (-53.413854 -33.699529),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,8,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.413854,-33.699529,,"[6060, 7471, 8243, 8609, 8296, 8100, 6778, -9999, 5267, 6033, 6749, 7442, 7013, 6881, 6688, 5423, 5350, 5214, 4565, -9999, 5232, 4631, -9999]","[7999.8330078125, 53.10416793823242, 290.75, 40528.0, 115520.5, 102017.5, 321995.5, 18608.0, -1969.5, 112.0, 6060.0, 1, 8609.0, 49, -9999.0, 113, -9999.0, 113]"
POINT (-53.421621 -33.697922),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,9,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.421621,-33.697922,,"[7381, 8867, 9410, 9365, 8468, 8465, 4471, 3726, 5540, 7690, 8653, 8025, 8405, 7708, 7534, 6793, 6780, 2492, 2287, -9999, 3525, 3462, -9999]","[8755.400390625, 63.40625, 60.65312576293945, 120358.0, 340336.0, 120358.0, 340336.0, 19409.0, -1309.0, 352.0, 7381.0, 1, 9410.0, 33, -9999.0, 305, -9999.0, 353]"
POINT (-53.420849 -33.696423),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,10,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.420849,-33.696423,,"[5984, 8406, 9202, 9429, 8655, 8356, 4487, 3468, 4873, 6684, 7739, 7241, 7292, 7275, 6788, 6395, 6531, 3887, 2946, -9999, 3797, 3638, -9999]","[8778.541015625, 71.77083587646484, 63.907894134521484, 115082.5, 335060.5, 115082.5, 335060.5, 19428.0, -2007.5, 352.0, 5984.0, 1, 9429.0, 49, -9999.0, 305, -9999.0, 353]"
POINT (-53.427329 -33.694423),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,11,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.427329,-33.694423,,"[7180, 7766, 9375, 9356, 7480, 7562, 4659, 4873, 6696, 7718, 8311, 6965, 7903, 7408, 6779, 5721, 5105, 2172, 1961, -9999, 2854, 3004, -9999]","[8470.666015625, 68.59375, 60.54375076293945, 112259.5, 332237.5, 112259.5, 332237.5, 19374.0, -1409.5, 352.0, 7180.0, 1, 9375.0, 33, -9999.0, 305, -9999.0, 353]"
POINT (-53.411665 -33.645385),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,12,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.411665,-33.645385,,"[4765, 8624, 9385, 9414, 4895, 8713, 6050, -9999, 3149, 7374, 8763, -9999, 9131, 8712, 7807, 7069, 6683, 4740, 4227, -9999, 3816, 3212, -9999]","[8948.833984375, 96.85416412353516, 303.328125, 39464.5, 114457.0, 89150.0, 309128.0, 19413.0, -2617.0, 112.0, 4765.0, 1, 9414.0, 49, -9999.0, 113, -9999.0, 113]"
POINT (-53.410764 -33.649636),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,13,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.410764,-33.649636,,"[5199, 8195, 9341, 9354, 9065, 9113, 7509, -9999, 4303, 6948, 8609, -9999, 9101, 8752, 7963, 7371, 7076, 5043, 4503, -9999, 3912, 3175, -9999]","[8823.291015625, 86.5625, 302.390625, 45177.5, 120170.0, 96936.0, 316914.0, 19353.0, -2400.0, 112.0, 5199.0, 1, 9354.0, 49, -9999.0, 113, -9999.0, 113]"
